"color","name"
"Black Skin","Aurorian #2516"
"Black Skin","Aurorian #3137"
"Latino Skin","Aurorian #4927"
"White Skin","Aurorian #7"
"White Skin","Aurorian #9238"
"White Skin","Aurorian #908"
"Latino Skin","Aurorian #990"
"Latino Skin","Aurorian #372"
"Latino Skin","Aurorian #3117"
"White Skin","Aurorian #847"
"Black Skin","Aurorian #2735"
"White Skin","Aurorian #3606"
"Latino Skin","Aurorian #5351"
"Latino Skin","Aurorian #1839"
"White Skin","Aurorian #5831"
"White Skin","Aurorian #8458"
"Black Skin","Aurorian #8074"
"Black Skin","Aurorian #8329"
"White Skin","Aurorian #7619"
"White Skin","Aurorian #6399"
"White Skin","Aurorian #3781"
"White Skin","Aurorian #6862"
"Black Skin","Aurorian #6515"
"White Skin","Aurorian #9610"
"Latino Skin","Aurorian #7293"
"Black Skin","Aurorian #2519"
"Black Skin","Aurorian #9462"
"Latino Skin","Aurorian #2373"
"Latino Skin","Aurorian #6885"
"White Skin","Aurorian #1886"
"White Skin","Aurorian #1415"
"White Skin","Aurorian #6838"
"Black Skin","Aurorian #5111"
"Black Skin","Aurorian #8961"
"White Skin","Aurorian #4860"
"White Skin","Aurorian #3155"
"Black Skin","Aurorian #168"
"White Skin","Aurorian #2697"
"Latino Skin","Aurorian #2409"
"White Skin","Aurorian #687"
"Latino Skin","Aurorian #1964"
"White Skin","Aurorian #3382"
"Latino Skin","Aurorian #3114"
"Black Skin","Aurorian #5286"
"Black Skin","Aurorian #902"
"Black Skin","Aurorian #2778"
"Latino Skin","Aurorian #3705"
"Black Skin","Aurorian #7526"
"White Skin","Aurorian #304"
"Black Skin","Aurorian #9726"
"White Skin","Aurorian #9483"
"Black Skin","Aurorian #1707"
"Latino Skin","Aurorian #9084"
"Latino Skin","Aurorian #6265"
"Black Skin","Aurorian #7981"
"White Skin","Aurorian #5488"
"Black Skin","Aurorian #9287"
"Black Skin","Aurorian #914"
"White Skin","Aurorian #4358"
"White Skin","Aurorian #5133"
"White Skin","Aurorian #9756"
"Latino Skin","Aurorian #8161"
"Latino Skin","Aurorian #2896"
"Latino Skin","Aurorian #2566"
"Latino Skin","Aurorian #7076"
"Black Skin","Aurorian #6333"
"Latino Skin","Aurorian #9927"
"White Skin","Aurorian #4700"
"White Skin","Aurorian #2816"
"Latino Skin","Aurorian #9862"
"Black Skin","Aurorian #8620"
"White Skin","Aurorian #7413"
"Latino Skin","Aurorian #9769"
"White Skin","Aurorian #8475"
"White Skin","Aurorian #2534"
"White Skin","Aurorian #8896"
"White Skin","Aurorian #7009"
"Latino Skin","Aurorian #2811"
"White Skin","Aurorian #1341"
"White Skin","Aurorian #7285"
"White Skin","Aurorian #6325"
"Latino Skin","Aurorian #8051"
"Latino Skin","Aurorian #8784"
"White Skin","Aurorian #8641"
"White Skin","Aurorian #6886"
"Latino Skin","Aurorian #2823"
"White Skin","Aurorian #3499"
"Black Skin","Aurorian #211"
"White Skin","Aurorian #346"
"Black Skin","Aurorian #1881"
"White Skin","Aurorian #9857"
"White Skin","Aurorian #602"
"White Skin","Aurorian #8324"
"White Skin","Aurorian #1725"
"White Skin","Aurorian #6177"
"Black Skin","Aurorian #8670"
"White Skin","Aurorian #1960"
"Latino Skin","Aurorian #7724"
"Black Skin","Aurorian #9811"
"Latino Skin","Aurorian #393"
"Black Skin","Aurorian #6206"
"White Skin","Aurorian #3442"
"Black Skin","Aurorian #2829"
"White Skin","Aurorian #8474"
"Black Skin","Aurorian #5932"
"White Skin","Aurorian #6766"
"White Skin","Aurorian #6923"
"White Skin","Aurorian #9092"
"Latino Skin","Aurorian #5525"
"Black Skin","Aurorian #1286"
"Black Skin","Aurorian #9986"
"White Skin","Aurorian #4620"
"Black Skin","Aurorian #6173"
"White Skin","Aurorian #7066"
"White Skin","Aurorian #9684"
"Latino Skin","Aurorian #8346"
"Latino Skin","Aurorian #6435"
"Black Skin","Aurorian #4442"
"White Skin","Aurorian #2570"
"Black Skin","Aurorian #3678"
"Black Skin","Aurorian #3234"
"Black Skin","Aurorian #8839"
"White Skin","Aurorian #5453"
"White Skin","Aurorian #5496"
"Latino Skin","Aurorian #9244"
"White Skin","Aurorian #5947"
"Latino Skin","Aurorian #1483"
"Latino Skin","Aurorian #1262"
"Latino Skin","Aurorian #4749"
"White Skin","Aurorian #1974"
"White Skin","Aurorian #2967"
"Latino Skin","Aurorian #7132"
"White Skin","Aurorian #8915"
"White Skin","Aurorian #5539"
"Latino Skin","Aurorian #4194"
"White Skin","Aurorian #7113"
"White Skin","Aurorian #7131"
"Black Skin","Aurorian #9744"
"Latino Skin","Aurorian #9013"
"White Skin","Aurorian #4362"
"Latino Skin","Aurorian #8169"
"Latino Skin","Aurorian #3231"
"Latino Skin","Aurorian #5808"
"Latino Skin","Aurorian #1646"
"Latino Skin","Aurorian #3681"
"Black Skin","Aurorian #5547"
"Latino Skin","Aurorian #7680"
"Black Skin","Aurorian #8669"
"White Skin","Aurorian #7205"
"Latino Skin","Aurorian #857"
"Black Skin","Aurorian #732"
"Latino Skin","Aurorian #1741"
"Latino Skin","Aurorian #9369"
"Black Skin","Aurorian #775"
"White Skin","Aurorian #4206"
"Latino Skin","Aurorian #9174"
"White Skin","Aurorian #2861"
"White Skin","Aurorian #1980"
"White Skin","Aurorian #7354"
"Black Skin","Aurorian #9416"
"Latino Skin","Aurorian #2540"
"Latino Skin","Aurorian #3093"
"Black Skin","Aurorian #8185"
"White Skin","Aurorian #9165"
"White Skin","Aurorian #3430"
"White Skin","Aurorian #6118"
"Latino Skin","Aurorian #1229"
"White Skin","Aurorian #4410"
"White Skin","Aurorian #6064"
"Black Skin","Aurorian #6276"
"White Skin","Aurorian #9019"
"Latino Skin","Aurorian #1546"
"White Skin","Aurorian #2260"
"Black Skin","Aurorian #2305"
"Latino Skin","Aurorian #5613"
"Latino Skin","Aurorian #4937"
"White Skin","Aurorian #4195"
"White Skin","Aurorian #1329"
"White Skin","Aurorian #720"
"White Skin","Aurorian #2531"
"White Skin","Aurorian #4632"
"Latino Skin","Aurorian #1355"
"White Skin","Aurorian #6988"
"White Skin","Aurorian #4027"
"White Skin","Aurorian #4491"
"Black Skin","Aurorian #1880"
"White Skin","Aurorian #4853"
"Black Skin","Aurorian #4247"
"White Skin","Aurorian #1577"
"White Skin","Aurorian #8439"
"Latino Skin","Aurorian #9988"
"Black Skin","Aurorian #3337"
"White Skin","Aurorian #2251"
"Latino Skin","Aurorian #2268"
"White Skin","Aurorian #768"
"Latino Skin","Aurorian #2273"
"Black Skin","Aurorian #3497"
"Black Skin","Aurorian #8109"
"Black Skin","Aurorian #5409"
"White Skin","Aurorian #1324"
"Latino Skin","Aurorian #4153"
"Black Skin","Aurorian #4435"
"White Skin","Aurorian #769"
"White Skin","Aurorian #4655"
"Latino Skin","Aurorian #5060"
"White Skin","Aurorian #7255"
"Black Skin","Aurorian #6393"
"Latino Skin","Aurorian #7968"
"White Skin","Aurorian #8274"
"Latino Skin","Aurorian #2306"
"Black Skin","Aurorian #4689"
"White Skin","Aurorian #5090"
"White Skin","Aurorian #329"
"White Skin","Aurorian #7991"
"Latino Skin","Aurorian #2341"
"White Skin","Aurorian #9228"
"Black Skin","Aurorian #4537"
"White Skin","Aurorian #2826"
"Black Skin","Aurorian #8081"
"White Skin","Aurorian #1412"
"Latino Skin","Aurorian #4674"
"White Skin","Aurorian #1451"
"Latino Skin","Aurorian #7103"
"Latino Skin","Aurorian #6251"
"White Skin","Aurorian #3168"
"Latino Skin","Aurorian #3149"
"White Skin","Aurorian #8149"
"Black Skin","Aurorian #4626"
"Black Skin","Aurorian #2477"
"White Skin","Aurorian #9678"
"Black Skin","Aurorian #2654"
"White Skin","Aurorian #4447"
"Latino Skin","Aurorian #7396"
"Latino Skin","Aurorian #822"
"Black Skin","Aurorian #9194"
"Black Skin","Aurorian #4423"
"Latino Skin","Aurorian #8975"
"White Skin","Aurorian #8389"
"Black Skin","Aurorian #9328"
"White Skin","Aurorian #2008"
"White Skin","Aurorian #3858"
"White Skin","Aurorian #893"
"White Skin","Aurorian #6662"
"White Skin","Aurorian #8415"
"Black Skin","Aurorian #263"
"Black Skin","Aurorian #8023"
"Black Skin","Aurorian #3812"
"Black Skin","Aurorian #3477"
"White Skin","Aurorian #8261"
"White Skin","Aurorian #8486"
"White Skin","Aurorian #5779"
"White Skin","Aurorian #3133"
"Latino Skin","Aurorian #9255"
"Latino Skin","Aurorian #4654"
"White Skin","Aurorian #2757"
"White Skin","Aurorian #9751"
"White Skin","Aurorian #3178"
"White Skin","Aurorian #9627"
"Latino Skin","Aurorian #8563"
"White Skin","Aurorian #984"
"Black Skin","Aurorian #8979"
"Black Skin","Aurorian #1399"
"Black Skin","Aurorian #6656"
"Latino Skin","Aurorian #5130"
"White Skin","Aurorian #4512"
"White Skin","Aurorian #2492"
"Black Skin","Aurorian #7719"
"White Skin","Aurorian #641"
"Latino Skin","Aurorian #1294"
"Latino Skin","Aurorian #2728"
"Black Skin","Aurorian #5942"
"Latino Skin","Aurorian #3771"
"Black Skin","Aurorian #8940"
"Latino Skin","Aurorian #5281"
"Latino Skin","Aurorian #9697"
"White Skin","Aurorian #6996"
"White Skin","Aurorian #2805"
"Latino Skin","Aurorian #415"
"Black Skin","Aurorian #7735"
"Black Skin","Aurorian #8638"
"Black Skin","Aurorian #6995"
"Black Skin","Aurorian #2527"
"White Skin","Aurorian #2844"
"White Skin","Aurorian #1719"
"Latino Skin","Aurorian #7356"
"White Skin","Aurorian #9149"
"Latino Skin","Aurorian #328"
"Black Skin","Aurorian #3369"
"Black Skin","Aurorian #9755"
"White Skin","Aurorian #4658"
"White Skin","Aurorian #8240"
"Latino Skin","Aurorian #1806"
"Black Skin","Aurorian #8874"
"White Skin","Aurorian #8457"
"White Skin","Aurorian #803"
"Black Skin","Aurorian #7996"
"White Skin","Aurorian #6470"
"White Skin","Aurorian #6859"
"Black Skin","Aurorian #6208"
"White Skin","Aurorian #7069"
"Black Skin","Aurorian #7795"
"White Skin","Aurorian #9206"
"Latino Skin","Aurorian #8771"
"White Skin","Aurorian #4847"
"Black Skin","Aurorian #5622"
"Black Skin","Aurorian #6791"
"Black Skin","Aurorian #4239"
"White Skin","Aurorian #1347"
"Latino Skin","Aurorian #8528"
"Latino Skin","Aurorian #8612"
"White Skin","Aurorian #3505"
"Black Skin","Aurorian #3776"
"Latino Skin","Aurorian #4697"
"Latino Skin","Aurorian #5175"
"White Skin","Aurorian #2723"
"Latino Skin","Aurorian #608"
"Black Skin","Aurorian #378"
"Black Skin","Aurorian #4619"
"White Skin","Aurorian #3302"
"White Skin","Aurorian #6056"
"White Skin","Aurorian #2387"
"Black Skin","Aurorian #2510"
"White Skin","Aurorian #7400"
"White Skin","Aurorian #1501"
"White Skin","Aurorian #5384"
"Black Skin","Aurorian #9958"
"Black Skin","Aurorian #7501"
"White Skin","Aurorian #2905"
"Latino Skin","Aurorian #7937"
"Latino Skin","Aurorian #1287"
"Black Skin","Aurorian #8939"
"Latino Skin","Aurorian #4433"
"White Skin","Aurorian #8952"
"White Skin","Aurorian #6074"
"White Skin","Aurorian #9360"
"Black Skin","Aurorian #899"
"White Skin","Aurorian #7176"
"Latino Skin","Aurorian #6536"
"White Skin","Aurorian #4908"
"Latino Skin","Aurorian #5009"
"Latino Skin","Aurorian #5110"
"White Skin","Aurorian #8910"
"Latino Skin","Aurorian #1197"
"White Skin","Aurorian #4413"
"Black Skin","Aurorian #8075"
"Latino Skin","Aurorian #8375"
"White Skin","Aurorian #4288"
"White Skin","Aurorian #3397"
"Black Skin","Aurorian #3815"
"Latino Skin","Aurorian #9904"
"White Skin","Aurorian #1250"
"White Skin","Aurorian #5231"
"Latino Skin","Aurorian #2125"
"Latino Skin","Aurorian #845"
"White Skin","Aurorian #2280"
"Latino Skin","Aurorian #3537"
"Black Skin","Aurorian #2599"
"Black Skin","Aurorian #7008"
"Black Skin","Aurorian #9445"
"Latino Skin","Aurorian #7520"
"Black Skin","Aurorian #8237"
"Black Skin","Aurorian #8049"
"Black Skin","Aurorian #1601"
"White Skin","Aurorian #5628"
"White Skin","Aurorian #7766"
"Latino Skin","Aurorian #4830"
"Black Skin","Aurorian #8751"
"White Skin","Aurorian #690"
"Black Skin","Aurorian #3950"
"White Skin","Aurorian #9576"
"White Skin","Aurorian #8666"
"Latino Skin","Aurorian #9760"
"White Skin","Aurorian #9887"
"Black Skin","Aurorian #6842"
"White Skin","Aurorian #6912"
"Latino Skin","Aurorian #338"
"Latino Skin","Aurorian #8881"
"White Skin","Aurorian #3377"
"White Skin","Aurorian #954"
"Black Skin","Aurorian #9817"
"Black Skin","Aurorian #4617"
"White Skin","Aurorian #5893"
"White Skin","Aurorian #4634"
"Black Skin","Aurorian #1648"
"Black Skin","Aurorian #6331"
"Latino Skin","Aurorian #1489"
"White Skin","Aurorian #4755"
"Black Skin","Aurorian #7685"
"White Skin","Aurorian #7237"
"White Skin","Aurorian #1524"
"Latino Skin","Aurorian #7956"
"White Skin","Aurorian #4750"
"Black Skin","Aurorian #6397"
"White Skin","Aurorian #4022"
"White Skin","Aurorian #4278"
"White Skin","Aurorian #177"
"White Skin","Aurorian #629"
"Latino Skin","Aurorian #8481"
"Latino Skin","Aurorian #8490"
"Latino Skin","Aurorian #1481"
"Black Skin","Aurorian #1922"
"Latino Skin","Aurorian #9899"
"Black Skin","Aurorian #306"
"Latino Skin","Aurorian #8965"
"Latino Skin","Aurorian #4317"
"White Skin","Aurorian #5071"
"White Skin","Aurorian #3283"
"White Skin","Aurorian #5464"
"Latino Skin","Aurorian #1767"
"Latino Skin","Aurorian #5988"
"White Skin","Aurorian #462"
"Latino Skin","Aurorian #3674"
"Black Skin","Aurorian #9343"
"Latino Skin","Aurorian #5851"
"Latino Skin","Aurorian #5362"
"White Skin","Aurorian #2000"
"Latino Skin","Aurorian #9199"
"Black Skin","Aurorian #4902"
"Latino Skin","Aurorian #188"
"Black Skin","Aurorian #2585"
"Black Skin","Aurorian #5848"
"White Skin","Aurorian #3208"
"White Skin","Aurorian #5190"
"Latino Skin","Aurorian #5098"
"White Skin","Aurorian #7862"
"White Skin","Aurorian #4566"
"Latino Skin","Aurorian #9344"
"White Skin","Aurorian #4859"
"White Skin","Aurorian #8953"
"White Skin","Aurorian #2498"
"White Skin","Aurorian #9114"
"Latino Skin","Aurorian #6710"
"White Skin","Aurorian #1688"
"Latino Skin","Aurorian #3825"
"Black Skin","Aurorian #680"
"Latino Skin","Aurorian #2334"
"White Skin","Aurorian #6259"
"White Skin","Aurorian #679"
"White Skin","Aurorian #1368"
"White Skin","Aurorian #4955"
"Black Skin","Aurorian #6747"
"Latino Skin","Aurorian #7822"
"White Skin","Aurorian #4947"
"White Skin","Aurorian #7223"
"White Skin","Aurorian #6521"
"Latino Skin","Aurorian #7224"
"White Skin","Aurorian #1044"
"Latino Skin","Aurorian #2503"
"Black Skin","Aurorian #957"
"Black Skin","Aurorian #5439"
"White Skin","Aurorian #3633"
"Latino Skin","Aurorian #1987"
"White Skin","Aurorian #5923"
"White Skin","Aurorian #4210"
"Latino Skin","Aurorian #6292"
"Black Skin","Aurorian #7860"
"White Skin","Aurorian #6029"
"Latino Skin","Aurorian #9205"
"White Skin","Aurorian #3060"
"Black Skin","Aurorian #4954"
"White Skin","Aurorian #4270"
"Latino Skin","Aurorian #7186"
"Latino Skin","Aurorian #2045"
"Latino Skin","Aurorian #8058"
"White Skin","Aurorian #3632"
"Latino Skin","Aurorian #3037"
"Black Skin","Aurorian #478"
"Black Skin","Aurorian #4371"
"White Skin","Aurorian #7863"
"Black Skin","Aurorian #8348"
"Black Skin","Aurorian #8254"
"White Skin","Aurorian #7012"
"White Skin","Aurorian #652"
"White Skin","Aurorian #4743"
"Latino Skin","Aurorian #4495"
"Black Skin","Aurorian #9796"
"Latino Skin","Aurorian #4105"
"Latino Skin","Aurorian #8043"
"Latino Skin","Aurorian #90"
"Black Skin","Aurorian #3433"
"White Skin","Aurorian #4276"
"White Skin","Aurorian #868"
"White Skin","Aurorian #3265"
"Black Skin","Aurorian #4098"
"Latino Skin","Aurorian #5513"
"White Skin","Aurorian #6516"
"White Skin","Aurorian #1769"
"White Skin","Aurorian #1627"
"White Skin","Aurorian #820"
"Latino Skin","Aurorian #1224"
"Latino Skin","Aurorian #8683"
"White Skin","Aurorian #1569"
"White Skin","Aurorian #276"
"White Skin","Aurorian #1802"
"Black Skin","Aurorian #8334"
"White Skin","Aurorian #2449"
"Latino Skin","Aurorian #5879"
"Black Skin","Aurorian #7148"
"Latino Skin","Aurorian #198"
"White Skin","Aurorian #3746"
"White Skin","Aurorian #9793"
"Black Skin","Aurorian #6571"
"Black Skin","Aurorian #8148"
"Latino Skin","Aurorian #4391"
"White Skin","Aurorian #7093"
"White Skin","Aurorian #4365"
"Black Skin","Aurorian #1458"
"Black Skin","Aurorian #2584"
"Black Skin","Aurorian #2291"
"Black Skin","Aurorian #5241"
"Black Skin","Aurorian #7143"
"White Skin","Aurorian #214"
"Latino Skin","Aurorian #1966"
"Black Skin","Aurorian #8134"
"White Skin","Aurorian #4031"
"White Skin","Aurorian #7087"
"White Skin","Aurorian #4857"
"White Skin","Aurorian #5941"
"Latino Skin","Aurorian #203"
"Black Skin","Aurorian #5277"
"Black Skin","Aurorian #5940"
"White Skin","Aurorian #7063"
"White Skin","Aurorian #8227"
"Black Skin","Aurorian #6543"
"Latino Skin","Aurorian #6714"
"White Skin","Aurorian #2060"
"Black Skin","Aurorian #3414"
"Black Skin","Aurorian #7068"
"Black Skin","Aurorian #9595"
"Latino Skin","Aurorian #6664"
"Black Skin","Aurorian #5372"
"Black Skin","Aurorian #444"
"Latino Skin","Aurorian #1773"
"Latino Skin","Aurorian #636"
"White Skin","Aurorian #5395"
"White Skin","Aurorian #7769"
"Black Skin","Aurorian #8534"
"White Skin","Aurorian #7880"
"White Skin","Aurorian #1038"
"Black Skin","Aurorian #612"
"Black Skin","Aurorian #8272"
"White Skin","Aurorian #5337"
"Black Skin","Aurorian #4929"
"Black Skin","Aurorian #666"
"White Skin","Aurorian #8280"
"White Skin","Aurorian #1513"
"Latino Skin","Aurorian #8877"
"Black Skin","Aurorian #8041"
"White Skin","Aurorian #6456"
"Black Skin","Aurorian #7869"
"White Skin","Aurorian #2027"
"White Skin","Aurorian #9759"
"White Skin","Aurorian #6197"
"Black Skin","Aurorian #7376"
"Latino Skin","Aurorian #7667"
"Latino Skin","Aurorian #8931"
"White Skin","Aurorian #3273"
"White Skin","Aurorian #3439"
"White Skin","Aurorian #9409"
"White Skin","Aurorian #2058"
"Black Skin","Aurorian #2560"
"Latino Skin","Aurorian #7312"
"Latino Skin","Aurorian #3627"
"Black Skin","Aurorian #3351"
"Latino Skin","Aurorian #2265"
"Black Skin","Aurorian #2785"
"Latino Skin","Aurorian #8596"
"White Skin","Aurorian #9006"
"Black Skin","Aurorian #6464"
"Black Skin","Aurorian #2951"
"Black Skin","Aurorian #7322"
"Black Skin","Aurorian #1815"
"White Skin","Aurorian #405"
"White Skin","Aurorian #2453"
"White Skin","Aurorian #1165"
"Black Skin","Aurorian #8833"
"White Skin","Aurorian #6116"
"Black Skin","Aurorian #3600"
"Latino Skin","Aurorian #4707"
"White Skin","Aurorian #9590"
"White Skin","Aurorian #9259"
"Black Skin","Aurorian #8868"
"Black Skin","Aurorian #1511"
"Latino Skin","Aurorian #2650"
"Latino Skin","Aurorian #695"
"White Skin","Aurorian #7077"
"Latino Skin","Aurorian #5199"
"White Skin","Aurorian #8822"
"Black Skin","Aurorian #7265"
"Latino Skin","Aurorian #2194"
"Black Skin","Aurorian #191"
"White Skin","Aurorian #425"
"Black Skin","Aurorian #9879"
"White Skin","Aurorian #8278"
"Black Skin","Aurorian #8964"
"Black Skin","Aurorian #1645"
"Latino Skin","Aurorian #44"
"White Skin","Aurorian #6677"
"Black Skin","Aurorian #6354"
"Black Skin","Aurorian #4412"
"White Skin","Aurorian #9111"
"White Skin","Aurorian #2910"
"Black Skin","Aurorian #5651"
"Latino Skin","Aurorian #1957"
"White Skin","Aurorian #9237"
"Latino Skin","Aurorian #1446"
"Latino Skin","Aurorian #3086"
"Black Skin","Aurorian #2206"
"White Skin","Aurorian #6724"
"White Skin","Aurorian #2993"
"White Skin","Aurorian #749"
"Latino Skin","Aurorian #5352"
"White Skin","Aurorian #2435"
"Black Skin","Aurorian #2671"
"Latino Skin","Aurorian #4056"
"Latino Skin","Aurorian #6607"
"White Skin","Aurorian #4113"
"Black Skin","Aurorian #4597"
"White Skin","Aurorian #1758"
"White Skin","Aurorian #8243"
"White Skin","Aurorian #8558"
"Black Skin","Aurorian #4445"
"White Skin","Aurorian #9846"
"Black Skin","Aurorian #9555"
"Latino Skin","Aurorian #4284"
"Latino Skin","Aurorian #3286"
"White Skin","Aurorian #6827"
"White Skin","Aurorian #2849"
"Black Skin","Aurorian #8210"
"White Skin","Aurorian #384"
"White Skin","Aurorian #2010"
"White Skin","Aurorian #9628"
"Black Skin","Aurorian #1376"
"White Skin","Aurorian #2701"
"Black Skin","Aurorian #3226"
"White Skin","Aurorian #6337"
"Black Skin","Aurorian #5049"
"Latino Skin","Aurorian #2597"
"White Skin","Aurorian #4686"
"Black Skin","Aurorian #6434"
"Black Skin","Aurorian #5809"
"White Skin","Aurorian #2450"
"Latino Skin","Aurorian #6462"
"Latino Skin","Aurorian #8504"
"White Skin","Aurorian #1209"
"White Skin","Aurorian #9421"
"White Skin","Aurorian #4576"
"White Skin","Aurorian #735"
"White Skin","Aurorian #4127"
"White Skin","Aurorian #6637"
"White Skin","Aurorian #6544"
"White Skin","Aurorian #9175"
"White Skin","Aurorian #4636"
"White Skin","Aurorian #6921"
"Latino Skin","Aurorian #2803"
"White Skin","Aurorian #4019"
"Black Skin","Aurorian #7370"
"Latino Skin","Aurorian #344"
"White Skin","Aurorian #8766"
"Black Skin","Aurorian #2543"
"Black Skin","Aurorian #5132"
"White Skin","Aurorian #5899"
"Black Skin","Aurorian #4732"
"White Skin","Aurorian #9560"
"Black Skin","Aurorian #6453"
"Latino Skin","Aurorian #5634"
"Black Skin","Aurorian #3780"
"White Skin","Aurorian #1995"
"White Skin","Aurorian #58"
"Black Skin","Aurorian #4973"
"Black Skin","Aurorian #2645"
"Black Skin","Aurorian #1471"
